Phenotype	DvsU_12H	DvsU_12H_pvalue	DvsU_24H	DvsU_24H_pvalue	DvsU_36H	DvsU_36H_pvalue	DvsU_72H	DvsU_72H_pvalue	DvsU_96H	DvsU_96H_pvalue	DvsU_120H	DvsU_120H_pvalue	DvsU_192H	DvsU_192H_pvalue
ketogenic acid synthesis	0	1	1	0.0005304038573613907	0.64	0.08520626890363552	0	1	0	1	0.46	0.02092547709521257	0	1
glycolysis	0.76	0.47196777643270915	-0.27	0.9966060606324562	-0.86	0.43705696665761945	-0.96	0.04159229495467487	0.56	0.1772170780054295	-1	0.0003811338195074202	0	1
fatty acid synthesis	0.57	0.8776542734428154	-0.27	0.9966060606324562	-0.11	0.9664937851892229	-1	0.09357933095790623	0.68	0.3430602166755979	-0.57	0.22833612442737963	0.07	1
glycogen synthesis	-0.52	0.017911840432114162	-0.89	0.011530659278545935	-0.42	0.19569408370823266	0	1	0	1	0.34	0.032729261782840684	0	1
gluconeogenese	0.33	0.8100797471972669	-0.45	0.9473812581374534	0.36	0.44618680239848735	-0.22	0.9660813213096502	0.46	0.15286408964991582	-0.12	0.9786837550391027	0	1
phagocytosis, engulfment	0.66	0.1947964995593399	0.05	0.9966060606324562	-1	0.028588404999218973	0.07	0.9202754716141988	0.13	0.5763959696144948	-0.78	0.0008381481342392784	-0.1	0.7538890271724723
positive regulation of vascular permeability	0.71	0.29965415524589306	0.85	0.05848984671402928	-1	0.16408922882794338	-0.37	0.04159229495467487	0.11	0.7816120774081547	0	0.2181163170076296	-0.03	1
vasodilation	-1	0.39592944926005136	0.37	0.9473812581374534	0.58	0.7575389941608469	-0.36	0.7421318568451866	-0.04	1	-0.1	0.8562615453437148	-0.02	1
platelet degranulation	0.74	0.048922202457032125	0.54	0.009123633297181999	-1	0.0005346038211820844	-0.15	0.09870340009014758	0.06	1	-0.28	0.01658635750561583	0.06	0.2141077002302031
vasoconstriction	0.03	1	-0.28	0.9473812581374534	-1	0.47296812471685906	0.39	0.684822453142925	-0.09	1	0.04	0.937988382597421	0.02	1
platelet activation	0.86	0.18461185774739397	0.37	0.1857020931585561	-1	0.021709112527080125	-0.07	0.9660813213096502	0.19	0.14052386907136538	-0.3	0.030698000424622632	0.05	0.7538890271724723
cytokine production involved in inflammatory response	0.14	0.691821098116796	-0.82	0.047293353930065146	-1	0.021004497832525015	-0.21	0.043544402119424945	-0.04	1	-0.18	0.22833612442737963	-0.17	0.029189633309532795
angiogenesis	0.56	0.35360423968042304	-0.12	0.7285054182229045	-1	0.03275340209457205	-0.02	1	0.03	1	-0.23	0.3820997308710473	0	1
apoptotic cell clearance	0.98	0.28540027189022893	-0.08	0.9966060606324562	-1	0.4673017095437819	0.38	0.07473490611672513	0.03	1	-0.52	0.030698000424622632	0.14	1
apoptotic process	1	0.3393556020241928	0	0.9966060606324562	-0.82	0.6106531010920172	-0.42	0.5664760549966925	0.27	0.5763959696144948	0.51	0.6566162939497597	0	1
m2 phenotype and behavior	0.89	0.18461185774739397	-0.04	1	-1	0.35785983419568723	-0.22	0.2844954926451458	0.1	1	-0.72	0.0009932404704675517	0.01	1
th1 response	-0.38	0.1924399746970114	-1	0.14104797421429535	0.61	0.255880027037693	-0.34	0.684822453142925	-0.4	0.0007038620385941082	0.34	0.22833612442737963	-0.14	0.7538890271724723
th17 response	-0.11	0.47196777643270915	-0.61	0.22897495685205224	0.06	0.377053595834337	0.08	0.9392192803536583	-0.28	0.005736064098007141	1	0.000462118254507537	0.14	0.5028021274785363
monocyte response	1	0.000014815849942807747	0.13	0.7177676935203718	-0.97	0.000014713973847265876	0.19	0.006438276888274664	0.19	0.0007251847323395306	-0.18	0.06663943426737812	0.15	0.0361958165132546
macrophage response	0.39	0.691821098116796	-1	0.047293353930065146	-1	0.06655208234650947	-0.18	0.1575384016717533	0.01	1	-0.34	0.2917568776497065	-0.04	0.9559321247438953
m1 phenotype and behavior	-0.18	0.567016911510054	-1	0.047293353930065146	-0.4	0.255880027037693	-0.27	0.19559555163784664	-0.08	1	0.04	0.9786837550391027	-0.06	1
b cell response	0.6	0.41268328025579215	-0.13	0.9966060606324562	-1	0.35785983419568723	0.11	0.8761018554259514	-0.02	1	-0.48	0.12302994436299677	0	1
nk cell response	-0.68	0.017911840432114162	0.13	0.9966060606324562	0.25	0.8397020943527687	-0.08	0.9660813213096502	0	1	-1	0.0000522739893021034	0	1
maresin synthesis	0.22	0.6922238602051638	0.96	0.07120905618463858	1	0.08520626890363552	0	1	0.71	0.0015762135556580486	0.36	0.22833612442737963	0.37	0.5028021274785363
protectin synthesis	0.14	0.926594088145391	0.7	0.14104797421429535	1	0.27902787463959355	0	1	0.9	0.001430430167717092	0.46	0.21560872936535003	0.47	0.5028021274785363
resolvin synthesis	0.06	1	-0.01	0.8360240510310256	0.48	0.5956529594531947	0.16	0.5664760549966925	1	0.0007038620385941082	0.51	0.05511789932774872	0.52	0.16797132260950434
endothelial cell proliferation	0.15	0.6696264778103327	0	1	-1	0.0037473148779597295	-0.08	0.8138132944902556	0.09	0.849727356346133	-0.1	0.5850452399898952	0	1
fibroblast response	-0.37	0.00002871678675930557	-1	0.00018898560271141948	-0.76	0.1713007178500515	-0.08	0.9660813213096502	-0.07	0.6379079072417344	0.15	0.3269468018734558	0	1
keratinocyte response	0.96	0.1924399746970114	-0.26	0.4295372692295577	-0.4	0.7759432829827494	-0.71	0.06265267685357617	-0.29	0.1277667395136512	-0.2	0.8562615453437148	0	1
t cell response	0.34	0.3817968484296477	0.09	0.3400679004836192	-0.3	0.6038783691755989	0	0.9392192803536583	0	1	-1	0.0000522739893021034	0	1
th2 response	-0.24	0.1924399746970114	-0.03	1	0.42	0.17977806582512398	0.19	0.43641685949137254	-0.24	0.0015762135556580486	1	5.769111710804912e-9	0.08	0.5028021274785363
treg response	0	1	0.07	0.9966060606324562	-1	0.255880027037693	0.13	0.9660813213096502	0	1	0	1	0	1
netosis	0.77	0.07338514507333835	-0.18	0.9473812581374534	-1	0.03332001654323435	0.04	0.9660813213096502	0	1	-0.36	0.027895726127979126	0	1
leukotriene synthesis	0.54	0.696118559024704	-0.91	0.1523894782992863	-1	0.08520626890363552	0.47	0.07473490611672513	0	1	0	1	0.28	0.9435854531024164
lipoxin synthesis	0.29	0.567016911510054	-1	0.1141369764858248	0.01	0.9279577474857609	0.47	0.005467927674477022	0.51	0.5309156735006177	0.26	0.8562615453437148	0.51	0.9435854531024164
prostaglandin synthesis	1	0.07338514507333835	-0.29	0.009123633297181999	0.06	0.9664937851892229	0.73	9.845656011404947e-12	0.29	0.5763959696144948	0.15	0.8562615453437148	0.82	0.029189633309532795
thromboxan synthesis	1	0.0003469685900428955	0.29	0.2688483121097523	0	0.9379620097866949	0.35	0.0000034009060864573755	0	1	0	1	0.33	0.21918189067713184
dc response	0	1	0	1	0	1	0	1	0	1	0.39	0.4131288103205835	0	1
myofibroblast response	0.58	0.7017185650682549	-0.85	0.001740552531958713	-1	0.12271859101484305	-0.6	0.05245791893873968	-0.17	0.4319718156881215	-0.28	0.2181163170076296	0	1
neutrophil response	0	1	-0.85	0.16237299151920656	-1	0.0037473148779597295	0.61	0.00000912720236603929	0	1	-0.33	0.2181163170076296	0	1
th9 response	1	0.1924399746970114	0.91	0.22552457851527727	-0.49	0.7692360024768004	0	1	0.32	0.7060613678256408	0	1	0	1
th22 response	-0.81	0.07338514507333835	-0.94	0.1112223270652674	0.03	0.9664937851892229	0	1	-1	0.0007038620385941082	0	1	0	1
