Phenotype	GvsS_12H	GvsS_12H_pvalue	GvsS_24H	GvsS_24H_pvalue	GvsS_36H	GvsS_36H_pvalue	GvsS_72H	GvsS_72H_pvalue	GvsS_96H	GvsS_96H_pvalue	GvsS_120H	GvsS_120H_pvalue	GvsS_192H	GvsS_192H_pvalue
ketogenic acid synthesis	0	1	0	1	0	1	0	1	0	1	0	1	0	1
glycolysis	0	1	0	1	0	1	0.09	1	0.81	0.8521270565413668	0.69	0.8509076804922119	-0.5	1
fatty acid synthesis	0	1	0	1	0	1	0.05	1	1	0.26438693098410604	0.38	0.9227081031457276	-0.01	1
glycogen synthesis	0	1	0	1	0	1	0	1	0	1	0	1	0	1
gluconeogenese	0	1	0	1	0	1	0.02	1	0.33	1	0.6	0.5771312292345671	-0.49	0.11964258916553303
phagocytosis, engulfment	0.01	1	0	1	0	1	0.04	1	-0.17	0.45998028507288535	1	0.0011166605813834687	0.02	1
positive regulation of vascular permeability	-0.06	1	0	1	0	1	0.35	0.5489245646863622	1	0.7475816120005185	-0.78	0.15111221369363645	-0.15	1
vasodilation	0	1	0	1	0	1	-0.1	1	0.77	0.45998028507288535	-0.16	0.7133501883080351	0.03	1
platelet degranulation	0	1	0	1	0	1	0	1	0.1	1	0.42	1	0.19	1
vasoconstriction	0	1	0	1	0	1	0.1	1	0.53	0.6592922149732783	0.44	0.8420186927956097	0.23	1
platelet activation	0	1	0	1	0	1	0	1	-0.43	1	0.56	0.5747432296628259	-0.14	1
cytokine production involved in inflammatory response	-0.03	1	0	1	0	1	-0.14	0.48508307913086046	0	1	1	0.0011166605813834687	0.1	1
angiogenesis	-0.24	1	0	1	0	1	0.06	1	0.16	1	1	0.43523496721522986	-0.35	1
apoptotic cell clearance	-0.17	0.007623466266538732	0	1	0.06	1	0.08	0.48616357662508275	-0.26	0.3199232502298968	1	0.025833584058505984	-0.22	1
apoptotic process	0	1	0	1	0	1	-0.17	1	0.22	1	-1	0.23375225934912877	0	1
m2 phenotype and behavior	-0.14	0.000003341804114567728	0	1	0.05	1	0.02	1	-0.14	1	1	0.005377338552359093	-0.01	1
th1 response	0	1	0	1	0	1	1	2.4461569238041642e-8	-0.47	0.0790535873123514	0.89	0.04922507393767359	0.36	0.9883026319645861
th17 response	0	1	0	1	0	1	-1	9.791940485528773e-7	0.51	0.23648861498568233	0.07	0.3974266629587911	-0.01	1
monocyte response	0	1	0	1	0.03	1	-0.06	0.5489245646863622	0.18	0.45998028507288535	1	0.000054535732986764904	-0.19	0.18442446173325056
macrophage response	0	1	0	1	0	1	0.04	1	0.06	1	1	0.000054535732986764904	0.1	1
m1 phenotype and behavior	0	1	0	1	0	1	-0.01	1	0.08	1	1	0.0022295302698043017	0.14	1
b cell response	0	1	0	1	0	1	-0.1	1	-0.04	1	1	0.05348511049701564	0.12	1
nk cell response	0	1	0	1	0	1	0.6	0.002966146032340608	0	1	1	0.026469739444529797	0.51	0.6552371165058669
maresin synthesis	0	1	0	1	0	1	0	1	0.78	0.36635466598731153	0	1	-0.89	0.05831013021376412
protectin synthesis	0	1	0	1	0	1	0	1	0.24	1	0	1	-0.32	1
resolvin synthesis	0	1	0	1	0	1	0	1	-0.14	1	0.63	0.6007632157014073	-0.13	1
endothelial cell proliferation	0	1	0	1	0	1	0.23	1	0	1	-0.15	0.9543399292883541	-0.21	1
fibroblast response	0	1	0	1	0	1	0.25	0.5489245646863622	0.95	0.38228929171890486	0.9	0.003043604225216972	0.29	1
keratinocyte response	0	1	0	1	0	1	0.05	1	0.41	0.26438693098410604	1	0.0005303956927830245	0.66	0.0062554567271752536
t cell response	0	1	0	1	0	1	-0.49	0.11936295958390007	0.1	0.7475816120005185	1	0.003956012018268486	0.05	1
th2 response	0	1	0	1	0	1	0.64	0.00003365318673802385	-0.31	0.0790535873123514	-1	0.0013685789754043	-0.15	0.3444126293791644
treg response	0	1	0	1	0	1	-1	0.06231484462406014	0.4	0.128237437144303	0.04	1	0	1
netosis	0	1	0	1	0.02	1	-0.01	1	-0.24	0.23648861498568233	1	0.000054535732986764904	0.12	0.23987737959408112
leukotriene synthesis	0	1	0	1	0	1	0	1	-0.37	0.7475816120005185	0.73	0.05672011668823997	-0.29	1
lipoxin synthesis	0	1	0	1	0	1	0	1	-0.24	0.45998028507288535	1	0.01105105844034521	0	1
prostaglandin synthesis	0	1	0	1	0.28	1	0	1	0.15	1	1	1.591211441550354e-8	0	1
thromboxan synthesis	0	1	0	1	0.17	1	0	1	0	1	1	0.00011471603258916575	0	1
dc response	0	1	0	1	0	1	-0.51	1	0	1	0	1	0	1
myofibroblast response	0	1	0	1	0	1	0.05	1	0.26	0.38228929171890486	1	0.00003362152827207705	0.46	0.011981268551461642
neutrophil response	0	1	0	1	0	1	0	1	0	1	1	0.003956012018268486	0.45	0.08634067867996931
th9 response	0	1	0	1	0	1	0	1	0	1	-0.04	1	0	1
th22 response	0	1	0	1	0	1	0	1	1	0.0002511000989433871	0	1	0.42	0.07793223827834656
